GROUP,DAY,Percent_Correct
2N,1,50
2N,1,35
2N,1,48
2N,1,61
2N,1,55
2N,1,53
2N,1,45
2N,1,68
2N,1,41
2N,1,45
Ts65Dn,1,25
Ts65Dn,1,35
Ts65Dn,1,30
Ts65Dn,1,40
Ts65Dn,1,51
Ts65Dn,1,31
Ts65Dn,1,25
Ts65Dn,1,27
Ts65Dn,1,39
Ts65Dn,1,47
2N,2,68
2N,2,58
2N,2,61
2N,2,64
2N,2,70
2N,2,64
2N,2,68
2N,2,71
2N,2,62
2N,2,63
Ts65Dn,2,58
Ts65Dn,2,49
Ts65Dn,2,55
Ts65Dn,2,62
Ts65Dn,2,68
Ts65Dn,2,53
Ts65Dn,2,51
Ts65Dn,2,49
Ts65Dn,2,61
Ts65Dn,2,67
2N,3,75
2N,3,79
2N,3,72
2N,3,71
2N,3,80
2N,3,81
2N,3,83
2N,3,74
2N,3,82
2N,3,84
Ts65Dn,3,67
Ts65Dn,3,63
Ts65Dn,3,69
Ts65Dn,3,78
Ts65Dn,3,80
Ts65Dn,3,71
Ts65Dn,3,68
Ts65Dn,3,73
Ts65Dn,3,74
Ts65Dn,3,79
2N,4,85
2N,4,90
2N,4,88
2N,4,82
2N,4,89
2N,4,88
2N,4,95
2N,4,89
2N,4,85
2N,4,93
Ts65Dn,4,79
Ts65Dn,4,87
Ts65Dn,4,84
Ts65Dn,4,80
Ts65Dn,4,88
Ts65Dn,4,81
Ts65Dn,4,85
Ts65Dn,4,90
Ts65Dn,4,86
Ts65Dn,4,89
