GROUP,METRIC,TOPOLO,T_ORDER,NOVELTY
WT,0.65,0.71,0.41,0.51
WT,0.7,0.55,0.19,0.2
WT,0.57,0.58,0.45,0.19
WT,0.81,0.61,0.31,0.48
WT,0.72,0.61,0.21,0.23
WT,0.63,0.58,0.49,0.6
WT,0.62,0.68,0.51,0.42
WT,0.61,0.7,0.32,0.37
WT,0.6,0.62,0.27,0.33
WT,0.59,0.65,0.24,0.42
WT,0.63,0.59,0.38,0.19
WT,0.64,0.81,0.36,0.23
WT,0.75,0.64,0.41,0.7
WT,0.55,0.62,0.19,0.41
WT,0.8,0.62,0.33,0.6
WT,0.61,0.64,0.44,0.51
WT,0.65,0.67,0.31,0.33
WT,0.61,0.58,0.35,0.32
WT,0.64,0.68,0.2,0.37
WT,0.66,0.71,0.39,0.29
WT,0.68,0.69,0.33,0.31
WT,0.7,0.65,0.31,0.38
WT,0.51,0.6,0.43,0.4
WT,0.64,0.59,0.18,0.3
LOW_CGG,0.58,0.6,0.2,0.11
LOW_CGG,0.54,0.59,0.24,0.28
LOW_CGG,0.52,0.58,0.18,0.18
LOW_CGG,0.59,0.52,0.19,0.22
LOW_CGG,0.58,0.5,0.31,0.6
LOW_CGG,0.54,0.59,0.21,0.22
LOW_CGG,0.55,0.61,0.3,0.35
LOW_CGG,0.52,0.52,0.21,0.58
LOW_CGG,0.53,0.5,0.22,0.19
LOW_CGG,0.5,0.48,0.22,0.5
LOW_CGG,0.61,0.63,0.29,0.21
LOW_CGG,0.69,0.7,0.32,0.63
LOW_CGG,0.58,0.59,0.31,0.31
LOW_CGG,0.55,0.65,0.19,0.7
LOW_CGG,0.63,0.62,0.31,0.43
LOW_CGG,0.54,0.58,0.18,0.25
LOW_CGG,0.56,0.59,0.29,0.53
LOW_CGG,0.55,0.52,0.21,0.54
LOW_CGG,0.52,0.5,0.31,0.45
LOW_CGG,0.61,0.59,0.21,0.5
LOW_CGG,0.48,0.56,0.21,0.4
LOW_CGG,0.55,0.61,0.17,0.41
LOW_CGG,0.57,0.59,0.21,0.32
LOW_CGG,0.55,0.57,0.25,0.29
HIGH_CGG,0.51,0.5,0.06,0.49
HIGH_CGG,0.49,0.51,0.2,0.38
HIGH_CGG,0.45,0.6,0.16,0.29
HIGH_CGG,0.44,0.35,0.14,0.21
HIGH_CGG,0.51,0.51,0.02,0.2
HIGH_CGG,0.5,0.55,0.09,0.37
HIGH_CGG,0.53,0.54,0.07,0.49
HIGH_CGG,0.51,0.58,0.1,0.23
HIGH_CGG,0.45,0.5,0.11,0.53
HIGH_CGG,0.52,0.47,0.1,0.28
HIGH_CGG,0.58,0.56,0.19,0.11
HIGH_CGG,0.5,0.58,0.09,0.36
HIGH_CGG,0.51,0.52,0.08,0.39
HIGH_CGG,0.42,0.47,0.12,0.46
HIGH_CGG,0.49,0.53,0.04,0.42
HIGH_CGG,0.5,0.51,0.14,0.31
HIGH_CGG,0.5,0.28,0.09,0.17
HIGH_CGG,0.51,0.55,0.2,0.36
HIGH_CGG,0.49,0.42,0.09,0.47
HIGH_CGG,0.48,0.56,0.21,0.51
HIGH_CGG,0.35,0.4,0.12,0.61
HIGH_CGG,0.34,0.48,0.14,0.21
HIGH_CGG,0.53,0.5,0.12,0.49
HIGH_CGG,0.48,0.55,-0.01,0.19
FXS,0.2,0.2,-0.3,-0.1
FXS,0.7,0.2,0,0.1
FXS,0.4,0.3,-0.3,0.1
FXS,0.4,0.1,-0.3,-0.2
FXS,0.5,0.4,-0.5,-0.2
FXS,0.2,0.2,-0.5,-0.5
FXS,0.4,0.5,0.1,-0.3
FXS,0.3,0.5,-1,-0.3
FXS,0.4,0.4,-0.5,0.3
FXS,0.2,0.3,-1,-0.4
FXS,0.2,0.2,-0.3,-0.5
FXS,0.3,0.3,-0.3,-0.1
FXS,0.4,0.2,-0.5,0.1
FXS,0.1,0.6,-0.7,0.2
FXS,0.4,0.2,0.1,0.1
FXS,0.4,0.3,-0.3,-1
FXS,0.5,0.6,-0.8,-0.1
FXS,0.3,0.2,-0.4,0
FXS,0.3,0.2,-0.2,-0.3
FXS,0.7,0.2,-0.5,0.1
FXS,0.3,0.4,-0.2,-0.2
FXS,0.5,0.2,-0.6,0.1
FXS,0.4,0.3,-0.6,-0.1
FXS,0.5,0.4,-0.6,-0.2
2N,0.39,0.64,0.42,0.33
2N,0.78,0.7,0.4,0.29
2N,0.59,0.56,0.31,0.39
2N,0.65,0.78,0.29,0.32
2N,0.38,0.61,0.48,0.28
Ts65Dn,0.49,0.7,0.35,0.29
Ts65Dn,0.32,0.58,0.29,0.33
Ts65Dn,0.22,0.76,0.38,0.2
Ts65Dn,0.12,0.7,0.23,0.35
Ts65Dn,0.16,0.56,0.25,0.23
